iter	Passed	Remaining
0	3	315
1	5	277
2	7	239
3	8	208
4	10	198
5	11	183
6	13	173
7	14	166
8	25	262
9	28	255
10	36	297
11	38	284
12	40	271
13	42	259
14	43	248
15	51	268
16	53	259
17	55	251
18	57	243
19	58	234
20	60	226
21	67	239
22	69	232
23	71	226
24	72	218
25	74	212
26	80	217
27	82	213
28	85	208
29	86	202
30	88	197
31	90	191
32	97	197
33	99	192
34	101	188
35	103	183
36	104	178
37	111	182
38	113	178
39	115	173
40	117	168
41	117	162
42	119	158
43	120	153
44	127	155
45	129	152
46	131	148
47	133	144
48	135	140
49	141	141
50	143	137
51	145	134
52	147	130
53	149	127
54	150	122
55	158	124
56	160	120
57	162	117
58	164	114
59	166	110
60	169	108
61	171	105
62	173	101
63	175	98
64	176	95
65	191	98
66	192	94
67	201	94
68	203	91
69	204	87
70	205	84
71	207	80
72	211	78
73	218	76
74	220	73
75	222	70
76	223	66
77	232	65
78	234	62
79	235	58
80	237	55
81	238	52
82	249	51
83	252	48
84	254	44
85	269	43
86	285	42
87	295	40
88	302	37
89	309	34
90	311	30
91	313	27
92	315	23
93	317	20
94	326	17
95	328	13
96	330	10
97	333	6
98	343	3
99	345	0
