iter	Passed	Remaining
0	112	111918
1	117	58640
2	123	40996
3	129	32211
4	133	26623
5	137	22731
6	141	20089
7	144	17870
8	147	16294
9	150	14903
10	157	14200
11	160	13189
12	162	12367
13	165	11627
14	166	10956
15	169	10419
16	171	9888
17	172	9436
18	174	8995
19	175	8616
20	177	8255
21	178	7947
22	180	7686
23	182	7427
24	184	7177
25	185	6949
26	188	6807
27	190	6612
28	191	6416
29	194	6275
30	196	6133
31	197	5977
32	198	5830
33	201	5723
34	202	5588
35	203	5456
36	204	5331
37	206	5215
38	207	5122
39	209	5032
40	211	4950
41	213	4863
42	214	4780
43	216	4700
44	217	4624
45	219	4550
46	221	4491
47	224	4458
48	226	4394
49	227	4322
50	228	4254
51	229	4191
52	231	4128
53	232	4064
54	233	4004
55	234	3949
56	235	3897
57	237	3855
58	239	3815
59	240	3768
60	241	3723
61	243	3681
62	244	3638
63	245	3593
64	246	3549
65	247	3507
66	249	3467
67	250	3432
68	252	3403
69	254	3375
70	255	3339
71	256	3303
72	257	3270
73	258	3238
74	260	3207
75	261	3177
76	262	3148
77	264	3120
78	267	3114
79	269	3101
80	270	3074
81	272	3047
82	272	3015
83	274	2990
84	275	2966
85	276	2940
86	277	2916
87	279	2897
88	282	2895
89	284	2876
90	285	2855
91	287	2841
92	289	2822
93	290	2802
94	292	2782
95	293	2763
96	298	2776
97	299	2760
98	302	2748
99	303	2730
100	304	2713
101	306	2695
102	308	2684
103	309	2667
104	314	2680
105	315	2664
106	317	2647
107	319	2635
108	321	2626
109	322	2610
110	324	2595
111	328	2601
112	331	2599
113	332	2586
114	334	2572
115	336	2565
116	337	2549
117	346	2590
118	349	2586
119	350	2571
120	352	2563
121	354	2552
122	360	2568
123	362	2557
124	363	2544
125	367	2546
126	368	2531
127	370	2523
128	374	2525
129	376	2520
130	379	2518
131	381	2508
132	383	2498
133	394	2546
134	396	2539
135	398	2531
136	400	2521
137	403	2519
138	406	2517
139	408	2507
140	409	2497
141	411	2486
142	413	2475
143	414	2463
144	418	2468
145	420	2462
146	422	2451
147	424	2444
148	426	2436
149	428	2426
150	429	2415
151	431	2407
152	434	2404
153	447	2456
154	453	2471
155	458	2482
156	460	2472
157	462	2464
158	470	2490
159	473	2486
160	474	2475
161	476	2465
162	486	2496
163	488	2489
164	491	2485
165	493	2477
166	505	2523
167	508	2516
168	519	2555
169	521	2547
170	523	2539
171	528	2546
172	534	2552
173	540	2564
174	541	2553
175	551	2579
176	554	2579
177	556	2570
178	568	2606
179	570	2596
180	571	2588
181	575	2588
182	580	2593
183	583	2586
184	585	2578
185	587	2570
186	592	2575
187	595	2570
188	596	2560
189	598	2549
190	599	2540
191	601	2532
192	606	2537
193	609	2532
194	611	2523
195	613	2517
196	615	2507
197	616	2496
198	617	2486
199	621	2484
200	623	2476
201	624	2467
202	626	2457
203	627	2448
204	628	2438
205	630	2429
206	631	2420
207	633	2412
208	635	2405
209	637	2398
210	638	2389
211	640	2379
212	641	2369
213	642	2360
214	644	2351
215	645	2343
216	646	2334
217	648	2326
218	650	2321
219	652	2314
220	653	2304
221	655	2296
222	656	2287
223	657	2278
224	659	2270
225	660	2263
226	662	2255
227	664	2249
228	666	2242
229	667	2235
230	669	2227
231	670	2219
232	672	2212
233	673	2203
234	674	2194
235	675	2185
236	676	2177
237	677	2168
238	679	2163
239	681	2157
240	682	2150
241	683	2142
242	684	2133
243	685	2125
244	687	2117
245	688	2109
246	689	2101
247	690	2092
248	691	2084
249	692	2076
250	694	2072
251	696	2068
252	698	2061
253	699	2054
254	700	2047
255	701	2039
256	703	2033
257	704	2026
258	705	2019
259	706	2012
260	708	2007
261	711	2003
262	712	1997
263	713	1989
264	714	1982
265	715	1975
266	716	1968
267	718	1961
268	719	1954
269	720	1947
270	721	1940
271	722	1932
272	724	1929
273	726	1924
274	727	1918
275	728	1911
276	729	1905
277	731	1898
278	732	1892
279	733	1885
280	734	1878
281	735	1872
282	736	1865
283	737	1859
284	739	1856
285	741	1851
286	742	1845
287	743	1839
288	744	1832
289	746	1826
290	747	1820
291	748	1813
292	749	1807
293	750	1801
294	751	1795
295	752	1790
296	754	1786
297	756	1782
298	757	1776
299	758	1770
300	760	1765
301	761	1761
302	763	1755
303	764	1750
304	765	1744
305	766	1738
306	767	1732
307	769	1729
308	771	1725
309	772	1720
310	774	1715
311	775	1709
312	776	1703
313	777	1698
314	778	1692
315	779	1687
316	780	1681
317	781	1676
318	783	1671
319	785	1669
320	787	1665
321	788	1660
322	789	1654
323	790	1649
324	791	1643
325	792	1638
326	793	1633
327	794	1628
328	795	1623
329	796	1617
330	798	1613
331	800	1611
332	802	1607
333	803	1602
334	804	1597
335	805	1591
336	806	1587
337	807	1582
338	808	1577
339	809	1571
340	810	1567
341	812	1562
342	813	1558
343	824	1573
344	826	1568
345	827	1563
346	830	1562
347	832	1559
348	833	1555
349	835	1551
350	836	1546
351	837	1542
352	838	1537
353	839	1532
354	841	1528
355	842	1524
356	846	1524
357	848	1521
358	850	1517
359	851	1513
360	852	1508
361	853	1504
362	854	1500
363	856	1496
364	857	1491
365	858	1486
366	862	1487
367	864	1484
368	865	1480
369	866	1475
370	868	1473
371	870	1469
372	871	1464
373	872	1460
374	875	1458
375	877	1455
376	878	1452
377	879	1448
378	881	1444
379	882	1439
380	883	1435
381	884	1431
382	885	1427
383	887	1423
384	888	1419
385	891	1418
386	894	1416
387	896	1414
388	901	1415
389	903	1412
390	909	1416
391	911	1413
392	912	1409
393	915	1407
394	916	1403
395	917	1399
396	918	1395
397	924	1398
398	927	1396
399	928	1392
400	930	1389
401	931	1385
402	933	1382
403	939	1385
404	943	1386
405	947	1386
406	949	1383
407	958	1390
408	962	1390
409	966	1390
410	968	1388
411	973	1388
412	975	1386
413	985	1394
414	987	1391
415	992	1393
416	1000	1399
417	1005	1399
418	1007	1396
419	1013	1399
420	1017	1398
421	1020	1398
422	1039	1417
423	1047	1422
424	1053	1425
425	1056	1423
426	1065	1429
427	1067	1426
428	1068	1422
429	1071	1420
430	1080	1426
431	1084	1425
432	1086	1422
433	1089	1420
434	1093	1420
435	1095	1416
436	1096	1413
437	1098	1409
438	1100	1406
439	1102	1403
440	1107	1403
441	1109	1400
442	1110	1396
443	1112	1393
444	1114	1389
445	1117	1388
446	1120	1386
447	1122	1383
448	1125	1381
449	1127	1378
450	1129	1374
451	1134	1375
452	1136	1371
453	1137	1368
454	1139	1364
455	1140	1360
456	1142	1357
457	1144	1354
458	1147	1352
459	1149	1349
460	1151	1346
461	1152	1342
462	1154	1338
463	1155	1334
464	1156	1330
465	1158	1327
466	1160	1324
467	1164	1323
468	1166	1320
469	1167	1316
470	1170	1315
471	1172	1311
472	1173	1307
473	1179	1308
474	1181	1305
475	1182	1301
476	1183	1298
477	1185	1294
478	1186	1291
479	1188	1287
480	1194	1288
481	1196	1285
482	1197	1282
483	1199	1278
484	1200	1274
485	1202	1271
486	1203	1268
487	1208	1267
488	1209	1264
489	1211	1260
490	1212	1256
491	1214	1253
492	1215	1250
493	1217	1246
494	1223	1248
495	1225	1244
496	1227	1242
497	1228	1238
498	1230	1235
499	1232	1232
500	1237	1232
501	1239	1229
502	1241	1226
503	1243	1223
504	1245	1220
505	1247	1217
506	1248	1214
507	1254	1215
508	1256	1211
509	1257	1208
510	1259	1204
511	1261	1202
512	1263	1199
513	1264	1195
514	1271	1197
515	1273	1194
516	1275	1191
